Type, GameLimit, MoveLimit, C, Win, MedalLeft, MovesMade, Score, Duration
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 102333, 21.468
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 107750, 19.559
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 174182, 13.129
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 200800, 11.313
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 114167, 14.169
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 211250, 9.750
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 186182, 13.312
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 127529, 20.760
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 237250, 9.182
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 172375, 20.342
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 78900, 24.094
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 127846, 16.619
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 186250, 10.690
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 51200, 22.314
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 244667, 14.895
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 210444, 15.131
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 469143, 8.571
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 96769, 15.849
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 181250, 9.428
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 96222, 21.444
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 53500, 22.558
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 127333, 11.736
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 138154, 18.236
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 158571, 12.032
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 119455, 21.273
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 132600, 12.550
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 104667, 16.443
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 130333, 15.265
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 176667, 10.886
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 140615, 15.382
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 184545, 12.887
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 104769, 18.557
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 103538, 23.846
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 151000, 15.584
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 170500, 15.983
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 232500, 10.488
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 161556, 12.077
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 67300, 33.264
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 279500, 12.708
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 133538, 21.214
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 104167, 16.306
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 144200, 18.083
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 127111, 12.590
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 101800, 26.180
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 116200, 13.580
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 185714, 12.628
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 117818, 15.780
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 175818, 26.494
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 141600, 16.591
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 123500, 20.416
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 67000, 37.102
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 318857, 10.338
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 91765, 24.044
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 95500, 21.434
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 89059, 31.538
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 61800, 47.146
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 111333, 43.905
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 121778, 12.899
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 111222, 22.196
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 133077, 15.652
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 161778, 10.723
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 344571, 8.544
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 201556, 10.823
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 298444, 11.075
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 159400, 12.125
Heuristic Based, 100, 5, 1.4, 1, 0, 3, 492667, 3.612
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 61900, 22.102
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 183778, 10.759
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 157176, 20.790
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 92125, 19.567
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 67500, 22.788
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 126143, 16.707
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 177500, 23.164
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 268800, 17.452
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 318000, 10.009
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 101444, 32.146
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 107889, 22.142
Heuristic Based, 100, 5, 1.4, 0, 2, 20, 29800, 22.774
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 114909, 15.999
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 102706, 26.879
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 196545, 13.539
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 227429, 8.759
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 351111, 12.446
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 109000, 15.439
Heuristic Based, 100, 5, 1.4, 1, 0, 19, 118842, 23.214
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 64100, 22.276
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 79800, 22.655
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 81625, 19.671
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 125375, 20.226
Heuristic Based, 100, 5, 1.4, 1, 0, 5, 432400, 6.006
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 138364, 13.737
Heuristic Based, 100, 5, 1.4, 1, 0, 19, 94105, 25.686
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 341000, 8.046
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 225714, 8.298
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 422333, 7.197
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 53000, 21.467
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 60600, 21.515
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 82533, 17.748
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 110364, 13.447
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 306667, 7.520
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 60500, 21.959
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 107286, 16.848
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 76000, 22.526
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 173200, 18.254
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 222250, 9.109
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 53600, 22.108
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 109000, 14.317
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 70000, 21.918
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 52300, 21.757
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 120364, 13.298
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 207273, 13.347
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 359333, 7.274
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 99538, 15.670
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 130571, 17.126
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 200000, 7.195
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 169167, 14.587
Heuristic Based, 100, 5, 1.4, 1, 0, 18, 167556, 21.153
Heuristic Based, 100, 5, 1.4, 1, 0, 16, 75125, 18.654
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 164000, 12.143
Heuristic Based, 100, 5, 1.4, 1, 0, 19, 79789, 21.889
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 65800, 21.608
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 189250, 10.082
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 70300, 22.101
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 201714, 8.301
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 114429, 15.445
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 305333, 11.012
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 439200, 12.184
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 88857, 16.554
Heuristic Based, 100, 5, 1.4, 1, 0, 17, 85765, 20.613
Heuristic Based, 100, 5, 1.4, 0, 1, 20, 84000, 22.104
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 239778, 10.830
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 332250, 9.802
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 136000, 18.110
Heuristic Based, 100, 5, 1.4, 1, 0, 14, 192857, 16.443
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 157000, 12.714
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 83200, 17.537
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 90000, 18.457
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 178615, 15.887
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 198200, 11.958
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 390750, 9.556
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 148600, 11.843
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 216333, 7.350
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 152800, 11.871
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 133077, 13.587
Heuristic Based, 100, 5, 1.4, 1, 0, 12, 215000, 14.578
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 199692, 16.409
Heuristic Based, 100, 5, 1.4, 1, 0, 8, 213750, 10.262
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 135077, 16.482
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 205400, 12.276
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 134889, 11.443
Heuristic Based, 100, 5, 1.4, 1, 0, 15, 156533, 18.661
Heuristic Based, 100, 5, 1.4, 1, 0, 6, 399333, 7.047
Heuristic Based, 100, 5, 1.4, 0, 2, 20, 74900, 22.823
Heuristic Based, 100, 5, 1.4, 1, 0, 11, 182182, 13.228
Heuristic Based, 100, 5, 1.4, 1, 0, 10, 140000, 12.723
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 133333, 11.065
Heuristic Based, 100, 5, 1.4, 1, 0, 7, 208571, 9.057
Heuristic Based, 100, 5, 1.4, 1, 0, 9, 146889, 11.722
Heuristic Based, 100, 5, 1.4, 1, 0, 13, 94769, 16.095
Crude, 100, 5, 1.4, 1, 0, 11, 163455, 12.781
Crude, 100, 5, 1.4, 1, 0, 10, 145600, 11.853
Crude, 100, 5, 1.4, 1, 0, 16, 94625, 18.559
Crude, 100, 5, 1.4, 1, 0, 14, 135143, 16.207
Crude, 100, 5, 1.4, 0, 1, 20, 81700, 21.062
Crude, 100, 5, 1.4, 1, 0, 13, 138154, 15.299
Crude, 100, 5, 1.4, 1, 0, 7, 144857, 8.029
Crude, 100, 5, 1.4, 0, 1, 20, 42900, 21.292
Crude, 100, 5, 1.4, 1, 0, 9, 135778, 10.372
Crude, 100, 5, 1.4, 1, 0, 10, 183600, 11.351
Crude, 100, 5, 1.4, 1, 0, 10, 243800, 11.765
Crude, 100, 5, 1.4, 1, 0, 18, 61000, 20.490
Crude, 100, 5, 1.4, 1, 0, 6, 180000, 6.990
Crude, 100, 5, 1.4, 1, 0, 12, 148167, 14.438
Crude, 100, 5, 1.4, 1, 0, 11, 121818, 12.807
Crude, 100, 5, 1.4, 0, 2, 20, 28000, 21.644
Crude, 100, 5, 1.4, 1, 0, 7, 192286, 8.462
Crude, 100, 5, 1.4, 1, 0, 9, 123333, 10.355
Crude, 100, 5, 1.4, 1, 0, 17, 148118, 19.923
Crude, 100, 5, 1.4, 1, 0, 6, 283667, 7.044
Crude, 100, 5, 1.4, 0, 2, 20, 39800, 21.843
Crude, 100, 5, 1.4, 1, 0, 14, 95714, 16.165
Crude, 100, 5, 1.4, 1, 0, 16, 97375, 18.826
Crude, 100, 5, 1.4, 1, 0, 12, 133833, 14.036
Crude, 100, 5, 1.4, 1, 0, 12, 124667, 14.196
Crude, 100, 5, 1.4, 1, 0, 15, 113733, 17.710
Crude, 100, 5, 1.4, 1, 0, 7, 161143, 7.987
Crude, 100, 5, 1.4, 1, 0, 13, 149385, 15.462
Crude, 100, 5, 1.4, 1, 0, 12, 101333, 14.118
Crude, 100, 5, 1.4, 1, 0, 11, 233091, 12.906
Crude, 100, 5, 1.4, 1, 0, 8, 337000, 9.695
Crude, 100, 5, 1.4, 1, 0, 3, 722000, 3.521
Crude, 100, 5, 1.4, 1, 0, 13, 200462, 15.737
Crude, 100, 5, 1.4, 1, 0, 16, 114625, 19.148
Crude, 100, 5, 1.4, 1, 0, 13, 96615, 15.213
Crude, 100, 5, 1.4, 0, 1, 20, 40900, 21.020
Crude, 100, 5, 1.4, 1, 0, 7, 168000, 8.294
Crude, 100, 5, 1.4, 1, 0, 12, 112000, 14.012
Crude, 100, 5, 1.4, 0, 1, 20, 47500, 22.012
Crude, 100, 5, 1.4, 1, 0, 6, 253333, 8.830
Crude, 100, 5, 1.4, 1, 0, 11, 181455, 12.893
Crude, 100, 5, 1.4, 0, 1, 20, 66400, 21.925
Crude, 100, 5, 1.4, 1, 0, 13, 155538, 15.655
Crude, 100, 5, 1.4, 1, 0, 11, 116727, 13.528
Crude, 100, 5, 1.4, 1, 0, 19, 93789, 21.240
Crude, 100, 5, 1.4, 0, 1, 20, 95600, 22.370
Crude, 100, 5, 1.4, 1, 0, 10, 207600, 12.186
Crude, 100, 5, 1.4, 1, 0, 9, 251778, 11.139
Crude, 100, 5, 1.4, 1, 0, 15, 84933, 17.797
Crude, 100, 5, 1.4, 1, 0, 16, 148000, 19.137
Crude, 100, 5, 1.4, 1, 0, 16, 149125, 18.867
Crude, 100, 5, 1.4, 1, 0, 12, 135500, 14.465
Crude, 100, 5, 1.4, 1, 0, 9, 147111, 10.615
Crude, 100, 5, 1.4, 1, 0, 17, 91882, 19.965
Crude, 100, 5, 1.4, 1, 0, 15, 113600, 17.766
Crude, 100, 5, 1.4, 1, 0, 11, 123091, 12.860
Crude, 100, 5, 1.4, 1, 0, 7, 276571, 7.878
Crude, 100, 5, 1.4, 1, 0, 15, 135067, 18.158
Crude, 100, 5, 1.4, 1, 0, 11, 196000, 13.462
Crude, 100, 5, 1.4, 1, 0, 12, 101000, 13.631
Crude, 100, 5, 1.4, 1, 0, 20, 65700, 21.744
Crude, 100, 5, 1.4, 1, 0, 14, 120857, 16.387
Crude, 100, 5, 1.4, 1, 0, 11, 119273, 13.116
Crude, 100, 5, 1.4, 0, 1, 20, 62300, 21.931
Crude, 100, 5, 1.4, 1, 0, 8, 163250, 9.317
Crude, 100, 5, 1.4, 0, 1, 20, 71700, 21.855
Crude, 100, 5, 1.4, 0, 1, 20, 51400, 21.219
Crude, 100, 5, 1.4, 0, 1, 20, 47300, 21.526
Crude, 100, 5, 1.4, 0, 1, 20, 44200, 21.283
Crude, 100, 5, 1.4, 1, 0, 7, 210000, 8.393
Crude, 100, 5, 1.4, 1, 0, 8, 136750, 9.094
Crude, 100, 5, 1.4, 1, 0, 16, 92125, 19.022
Crude, 100, 5, 1.4, 1, 0, 12, 110333, 14.471
Crude, 100, 5, 1.4, 1, 0, 15, 75200, 17.253
Crude, 100, 5, 1.4, 0, 1, 20, 77700, 21.958
Crude, 100, 5, 1.4, 1, 0, 8, 205500, 9.805
Crude, 100, 5, 1.4, 1, 0, 6, 188333, 7.482
Crude, 100, 5, 1.4, 1, 0, 20, 76100, 22.048
Crude, 100, 5, 1.4, 1, 0, 8, 143000, 9.163
Crude, 100, 5, 1.4, 1, 0, 17, 90471, 19.989
Crude, 100, 5, 1.4, 0, 2, 20, 59400, 21.627
Crude, 100, 5, 1.4, 0, 1, 20, 68700, 22.107
Crude, 100, 5, 1.4, 1, 0, 8, 160000, 9.525
Crude, 100, 5, 1.4, 1, 0, 7, 228286, 8.430
Crude, 100, 5, 1.4, 1, 0, 8, 161000, 9.343
Crude, 100, 5, 1.4, 1, 0, 16, 101500, 19.371
Crude, 100, 5, 1.4, 1, 0, 10, 117600, 11.934
Crude, 100, 5, 1.4, 1, 0, 15, 106533, 17.975
Crude, 100, 5, 1.4, 1, 0, 14, 116714, 16.713
Crude, 100, 5, 1.4, 1, 0, 12, 99167, 14.696
Crude, 100, 5, 1.4, 1, 0, 9, 130444, 11.137
Crude, 100, 5, 1.4, 1, 0, 10, 129000, 11.724
Crude, 100, 5, 1.4, 1, 0, 11, 108000, 13.178
Crude, 100, 5, 1.4, 1, 0, 8, 255000, 9.471
Crude, 100, 5, 1.4, 1, 0, 16, 110125, 18.877
Crude, 100, 5, 1.4, 1, 0, 13, 91692, 15.665
Crude, 100, 5, 1.4, 0, 1, 20, 60500, 22.066
Crude, 100, 5, 1.4, 1, 0, 20, 74800, 21.884
Crude, 100, 5, 1.4, 1, 0, 12, 99167, 14.102
Crude, 100, 5, 1.4, 1, 0, 8, 139750, 9.407
Crude, 100, 5, 1.4, 1, 0, 5, 379200, 6.059
Crude, 100, 5, 1.4, 0, 1, 20, 67900, 21.699
Crude, 100, 5, 1.4, 1, 0, 11, 241818, 12.969
Crude, 100, 5, 1.4, 1, 0, 11, 109818, 13.037
Crude, 100, 5, 1.4, 1, 0, 7, 286000, 8.350
Crude, 100, 5, 1.4, 1, 0, 14, 134571, 16.396
Crude, 100, 5, 1.4, 1, 0, 13, 106154, 15.435
Crude, 100, 5, 1.4, 1, 0, 8, 199250, 9.381
Crude, 100, 5, 1.4, 1, 0, 11, 184000, 13.325
Crude, 100, 5, 1.4, 1, 0, 8, 140250, 9.580
Crude, 100, 5, 1.4, 1, 0, 18, 126556, 20.727
Crude, 100, 5, 1.4, 1, 0, 8, 336500, 9.539
Crude, 100, 5, 1.4, 1, 0, 7, 227143, 8.339
Crude, 100, 5, 1.4, 1, 0, 6, 444667, 7.123
Crude, 100, 5, 1.4, 1, 0, 20, 112700, 23.418
Crude, 100, 5, 1.4, 0, 1, 20, 56600, 21.532
Crude, 100, 5, 1.4, 1, 0, 9, 159333, 10.414
Crude, 100, 5, 1.4, 0, 1, 20, 58900, 21.836
Crude, 100, 5, 1.4, 1, 0, 9, 168667, 10.779
Crude, 100, 5, 1.4, 1, 0, 9, 258222, 10.899
Crude, 100, 5, 1.4, 1, 0, 10, 109200, 11.649
Crude, 100, 5, 1.4, 1, 0, 14, 111429, 16.221
Crude, 100, 5, 1.4, 1, 0, 17, 67882, 19.604
Crude, 100, 5, 1.4, 1, 0, 14, 143143, 14.855
Crude, 100, 5, 1.4, 1, 0, 13, 145692, 15.093
Crude, 100, 5, 1.4, 1, 0, 19, 67789, 21.320
Crude, 100, 5, 1.4, 1, 0, 7, 311714, 8.298
Crude, 100, 5, 1.4, 1, 0, 16, 100125, 18.479
Crude, 100, 5, 1.4, 0, 1, 20, 47300, 21.317
Crude, 100, 5, 1.4, 1, 0, 17, 94118, 20.116
Crude, 100, 5, 1.4, 0, 1, 20, 54600, 23.083
Crude, 100, 5, 1.4, 1, 0, 12, 136667, 14.124
Crude, 100, 5, 1.4, 1, 0, 8, 150750, 9.642
Crude, 100, 5, 1.4, 1, 0, 10, 114000, 11.796
Crude, 100, 5, 1.4, 1, 0, 8, 151250, 9.434
Crude, 100, 5, 1.4, 1, 0, 8, 188500, 9.422
Crude, 100, 5, 1.4, 1, 0, 5, 291600, 5.895
Crude, 100, 5, 1.4, 1, 0, 10, 126600, 11.716
Crude, 100, 5, 1.4, 1, 0, 17, 86824, 20.074
Crude, 100, 5, 1.4, 1, 0, 10, 159600, 11.892
Crude, 100, 5, 1.4, 1, 0, 12, 159833, 14.177
Crude, 100, 5, 1.4, 1, 0, 9, 183111, 10.711
Crude, 100, 5, 1.4, 1, 0, 10, 150400, 12.415
Crude, 100, 5, 1.4, 1, 0, 11, 144545, 13.056
Crude, 100, 5, 1.4, 1, 0, 11, 103091, 13.166
Crude, 100, 5, 1.4, 0, 1, 20, 82000, 21.686
Crude, 100, 5, 1.4, 1, 0, 5, 525600, 6.013
Crude, 100, 5, 1.4, 1, 0, 19, 79684, 21.187
Crude, 100, 5, 1.4, 1, 0, 11, 142364, 13.072
Crude, 100, 5, 1.4, 1, 0, 13, 112308, 14.843
Crude, 100, 5, 1.4, 0, 1, 20, 45200, 21.672
Crude, 100, 5, 1.4, 1, 0, 8, 137250, 9.521
Crude, 100, 5, 1.4, 1, 0, 12, 137333, 14.473
Crude, 100, 5, 1.4, 1, 0, 18, 76778, 20.436
Crude, 100, 5, 1.4, 1, 0, 10, 124200, 13.558
Crude, 100, 5, 1.4, 1, 0, 13, 178308, 16.014
Crude, 100, 5, 1.4, 1, 0, 6, 199667, 7.327
Crude, 100, 5, 1.4, 1, 0, 13, 120462, 15.128
Crude, 100, 5, 1.4, 1, 0, 19, 104947, 21.635
Crude, 100, 5, 1.4, 1, 0, 5, 494000, 6.008
Crude, 100, 5, 1.4, 1, 0, 11, 129818, 12.640
Crude, 100, 5, 1.4, 1, 0, 11, 109091, 13.194
Crude, 100, 5, 1.4, 1, 0, 6, 297000, 7.095
Crude, 100, 5, 1.4, 1, 0, 6, 207333, 7.188
Crude, 100, 5, 1.4, 1, 0, 9, 122889, 10.366
Crude, 100, 5, 1.4, 1, 0, 9, 159111, 10.867
Crude, 100, 5, 1.4, 1, 0, 12, 156333, 14.589
Crude, 100, 5, 1.4, 1, 0, 12, 96167, 14.099
Crude, 100, 5, 1.4, 0, 1, 20, 63200, 21.618
Crude, 100, 5, 1.4, 1, 0, 8, 167250, 9.742
Crude, 100, 5, 1.4, 0, 1, 20, 92900, 21.051
Crude, 100, 5, 1.4, 0, 1, 20, 46700, 22.113
Crude, 100, 5, 1.4, 1, 0, 8, 309750, 10.092
Crude, 100, 5, 1.4, 1, 0, 14, 80571, 16.876
Crude, 100, 5, 1.4, 1, 0, 14, 96429, 17.475
Crude, 100, 5, 1.4, 1, 0, 14, 109857, 17.438
Crude, 100, 5, 1.4, 1, 0, 14, 86143, 16.574
Crude, 100, 5, 1.4, 1, 0, 10, 148400, 11.892
Crude, 100, 5, 1.4, 1, 0, 11, 181091, 13.339
Crude, 100, 5, 1.4, 0, 1, 20, 50300, 21.914
Crude, 100, 5, 1.4, 1, 0, 13, 98000, 15.782
Crude, 100, 5, 1.4, 0, 1, 20, 141200, 21.831
Crude, 100, 5, 1.4, 0, 1, 20, 46200, 21.985
Crude, 100, 5, 1.4, 1, 0, 9, 143333, 11.061
Crude, 100, 5, 1.4, 1, 0, 14, 142857, 16.810
Crude, 100, 5, 1.4, 0, 2, 20, 31500, 22.127
Crude, 100, 5, 1.4, 1, 0, 16, 87000, 19.236
Crude, 100, 5, 1.4, 1, 0, 19, 72947, 22.004
Crude, 100, 5, 1.4, 1, 0, 14, 95000, 17.067
Crude, 100, 5, 1.4, 0, 1, 20, 83800, 22.075
Crude, 100, 5, 1.4, 1, 0, 15, 98267, 18.007
Crude, 100, 5, 1.4, 1, 0, 9, 228889, 10.887
Crude, 100, 5, 1.4, 1, 0, 19, 111579, 21.551
Crude, 100, 5, 1.4, 1, 0, 17, 73529, 21.454
Crude, 100, 5, 1.4, 1, 0, 11, 136909, 13.080
Crude, 100, 5, 1.4, 1, 0, 14, 171000, 17.130
Crude, 100, 5, 1.4, 1, 0, 12, 98833, 14.224
